source_id,project_id,action,country,name
NI-001,GL001,新增条目,北马其顿,Euronickel Industries (formerly FENI Industries) Kavadarci Ferronickel Plant 欧洲镍业(Euronickel Industries，原FENI Industries)卡瓦达尔齐镍铁厂
NI-002,MHP034,合并已有条目,土耳其,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目
NI-003,GL003,新增条目,土耳其,Çaldağ Nickel Laterite Atmospheric Heap Leach Project 恰尔达(Çaldağ)红土镍常压堆浸项目
NI-004,GL004,新增条目,希腊,LARCO (GMM S.A.) Larymna Ferronickel Smelter 拉尔科(LARCO)拉里姆纳镍铁冶炼厂
NI-005,GL005,新增条目,德国,Nickelhütte Aue GmbH 奥厄镍冶炼厂(Nickelhütte Aue)
NI-006,GL006,新增条目,挪威,Ringerike Nikkelverk (Ringerike Nickel Works) 灵厄里克镍冶炼厂(Ringerike Nikkelverk)
NI-007,GL007,新增条目,挪威,Evje Nikkelverk (Flåt Nickel Smelter) 埃夫耶镍冶炼厂（弗洛特矿配套冶炼厂）
NI-008,GL008,新增条目,挪威,Senjen Nickel Works (Senjens Nikkelverk) 塞尼亚(Senjen)镍矿冶炼厂
NI-009,GL009,新增条目,挪威,Glencore Nikkelverk (Kristiansand Nickel Refinery) 嘉能可克里斯蒂安桑镍精炼厂(Nikkelverk)
NI-010,GL010,新增条目,斯洛伐克,Niklová huta Sereď (Sereď Nickel-Cobalt Electrolytic Plant) 谢雷季(Sereď)镍钴电解厂
NI-011,GL011,新增条目,比利时,"Umicore Olen Site (Cobalt & Specialty Materials, incl. nickel sulphate line) 优美科(Umicore)奥伦(Olen)基地（钴与特种材料，含镍盐产线）"
NI-012,GL012,新增条目,法国,Septèmes-les-Vallons Nickel Foundry (Marbeau & Garnier) 塞普泰姆莱瓦隆镍冶炼厂(马尔博与加尼耶创办)
NI-013,GL013,新增条目,法国,Sandouville Nickel Refinery (Le Havre) 桑杜维尔(Sandouville)镍精炼厂（勒阿弗尔附近）
NI-014,GL014,新增条目,波兰,"Szklary Nickel Mine & Smelter (German era: ""Nickelwerke Frankenstein""; Polish era: Zakłady Górniczo-Hutnicze Szklary) 什克拉雷(Szklary)镍矿与冶炼厂【德国时期称""法兰肯施泰因镍厂""，波兰时期称什克拉雷矿冶联合企业】"
