项目ID,企业抬头+中文,原状态,复查状态,资料时点,研究发现,仍需确认,来源
NPI015,PT Perkasa Metal Industry 佩尔卡萨金属工业,投产待确认,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,CRI在2024年发布的报告附录4，将该厂列入依据印尼工业部2023年KBLI数据库整理的在运冶炼厂名单。结合后续持续NPI贸易活动，研究判断为已进入生产，而非仍待确认是否建成。 ,首炉投产日期、2026年具体运行炉数及负荷。,"CRI《Nickel Unearthed》附录4，2024年1月；列示2023年在运冶炼厂 https://cri.org/wp-content/uploads/2024/05/CRI-Nickel-Unearthed.pdf#page=129
用户NPI逐票核查表 https://bc050603.github.io/indonesia-nickel/library/npi-trade-audit.xlsx"
NPI017,PT Lipe Metal Industry 利佩金属工业,投产待确认,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,CRI在2024年发布的报告附录4，将该厂列入依据印尼工业部2023年KBLI数据库整理的在运冶炼厂名单。结合后续持续NPI贸易活动，研究判断为已进入生产，而非仍待确认是否建成。 ,首炉投产日期、2026年具体运行炉数及负荷。,"CRI《Nickel Unearthed》附录4，2024年1月；列示2023年在运冶炼厂 https://cri.org/wp-content/uploads/2024/05/CRI-Nickel-Unearthed.pdf#page=129
用户NPI逐票核查表 https://bc050603.github.io/indonesia-nickel/library/npi-trade-audit.xlsx"
NPI018,PT Maluku Utara Metal Industry 北马鲁古金属工业,投产待确认,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,CRI在2024年发布的报告附录4，将该厂列入依据印尼工业部2023年KBLI数据库整理的在运冶炼厂名单。结合后续持续NPI贸易活动，研究判断为已进入生产，而非仍待确认是否建成。 ,首炉投产日期、2026年具体运行炉数及负荷。,"CRI《Nickel Unearthed》附录4，2024年1月；列示2023年在运冶炼厂 https://cri.org/wp-content/uploads/2024/05/CRI-Nickel-Unearthed.pdf#page=129
用户NPI逐票核查表 https://bc050603.github.io/indonesia-nickel/library/npi-trade-audit.xlsx"
NPI019,PT Lin Victor Metal Industry 林维克金属工业,投产待确认,已投产 · 当期负荷待更新,2023年在运名录；2023—2026年贸易样本,CRI在2024年发布的报告附录4，将该厂列入依据印尼工业部2023年KBLI数据库整理的在运冶炼厂名单。结合后续持续NPI贸易活动，研究判断为已进入生产，而非仍待确认是否建成。 ,首炉投产日期、2026年具体运行炉数及负荷。,"CRI《Nickel Unearthed》附录4，2024年1月；列示2023年在运冶炼厂 https://cri.org/wp-content/uploads/2024/05/CRI-Nickel-Unearthed.pdf#page=129
用户NPI逐票核查表 https://bc050603.github.io/indonesia-nickel/library/npi-trade-audit.xlsx"
NPI037,PT Lestari Smelter Indonesia (LSI) 莱斯塔里冶炼,停产（原表记录）,在产,2026年9月18日用户确认,"用户于2026年9月18日明确确认LSI仍在生产，运营名称以此前提供的项目表为准。当前按PT Lestari Smelter Indonesia（LSI）在产登记；此前依据间接资料作出的“停复产待确认”判断已更新。 镍铁42条合计245,692.25实物吨：2023年166,605.24吨，2024年1—5月79,087.01吨。2024年1月至5月分别为18,000.12、18,667.33、17,419.45、13,000.11和12,000.00吨。最后一条是2024年5月11日向SEAH CSS CORP发运199.88吨NPI，原始Excel第3594行；前两条分别为5月4日和10日向上海鼎信发运6,500.06吨和5,300.06吨。 镍铁样本中，Tsingshan Holding Group Co., Ltd.（青山控股）占39.63%，Shanghai Decent Investment (Group) Co., Ltd.（上海鼎信）占34.88%，Guangdong Jeray Technology Group Co., Ltd.占16.52%。这些是历史跨境交易渠道。根据2026年9月18日用户补充确认，IMIP园区镍铁供应青山不锈钢厂，LSI的销售应结合这条园区内供路径理解。2024年6月至2026年8月，该抬头在样本中没有后续出口记录，但园区内交付不进入镍铁出口统计；因此出口空档不能用来推断LSI停产，也不能把出口量当作其全部销量。具体接收法人、内供数量与交付起始时间另行补充。",具体运行炉数和负荷、最新股权及两版设计能力差异继续核对；在产状态和运营抬头不再列为待确认。,"用户原表及2026年9月18日运营状态确认 library/operator-confirmations.html
IMIP：LSI项目介绍（无署期） https://imip.co.id/pt-lestari-smelter-indonesia/
NBD：LSI贸易活动 https://www.nbd.ltd/trader/info/NBDDIY349800047
2026年9月18日用户确认：IMIP镍铁供青山不锈钢厂 library/operator-confirmations.html#imip-supply
LSI与万向出口复核：原始明细摘录及产品分列（2026年9月18日） library/lsi-wanxiang-export-review.csv"
NPI054,PT Wanxiang Nickel Indonesia 万向镍业,停产,停产,2026年9月18日用户确认,"用户于2026年9月18日明确确认万向镍业停产，当前状态据此更新。此前引用的2026年3月“两条线运行”报道属于较早时点，移入历史资料，不再据此将万向列为部分运行。 年度出口量为2023年93,307.672吨、2024年158,548.73吨、2025年34,984.89吨，2025年比2024年减少77.93%。2025年1月至5月依次为10,386.47、7,579.45、4,766.82、3,210.52、2,872.50吨，呈明显收缩；6—7月样本没有记录，8月仍发运3,550.12吨，9月发运2,619.01吨。 最后一条记录为2025年9月8日，买方Chengtun Mining Group Co., Ltd.，原始Excel第8480行，货描FERRO-NICKEL 8.45%。2025年10月至2026年8月样本没有该抬头的新出口。持续收缩和之后的发货空档，与用户确认的当前停产状态相符；2025年7月停产报道之后的8—9月合计6,169.13吨发货，也可能来自库存或既有订单交付，其生产日期仍需原始生产、库存资料确认。",本次停产的具体起始日期、后续复产安排和重组进展；当前停产状态已确认。,"用户原表及2026年9月18日运营状态确认 library/operator-confirmations.html
盛屯矿业2025年报 https://www.600711.com/uploads/pdfs/177492497780028.pdf
IMA 2026年3月4日新闻汇编：APNI关于两条线运行的说法 https://ima-api.org/wp-content/uploads/2026/03/IMA-Daily-News-Update-Wednesday-March-04-2026.pdf
盛屯矿业2026年半年报 https://static.cninfo.com.cn/finalpage/2026-07-30/1225446751.PDF
LSI与万向出口复核：原始明细摘录及产品分列（2026年9月18日） library/lsi-wanxiang-export-review.csv"
NPI055,PT Huadi Nickel-Alloy Indonesia 华迪镍合金,停产,停产,2025年停产记录；2026年5月FINI确认,2025年7月已有全厂暂停运行通知；2026年5月FINI主席又表示华迪自2025年底起停止生产，企业进入PKPU。两个报道描述不同时间窗口，中间是否短暂重启尚不清楚，但2026年5月仍停产的判断有具名来源。 ,2026年5月以后的复产或重新送电记录；不把华迪本体的停产套用到Unity。,"FINI主席关于华迪停产的说明，2026年5月7日 https://www.bloombergtechnoz.com/detail-news/108241/pkpu-sementara-huadi-nickel-alloy-stop-produksi-sejak-akhir-2025
IMA 2026年3月4日新闻汇编：APNI关于两条线运行的说法 https://ima-api.org/wp-content/uploads/2026/03/IMA-Daily-News-Update-Wednesday-March-04-2026.pdf"
NPI056,PT COR Industri Indonesia (CORII) 印尼COR冶炼,停产／暂停运行,停产／临时停运,官网称2022年初起；2025财报仍述暂停,Central Omega英文官网明确说，CORII因进口冶金焦供应困难，自2022年初暂时停运。2025年财报仍记载暂停冶炼，未单列FeNi销售。因此保留停产状态；历史起点在财报与官网间存在年份差异，不能据此推定曾复产。 ,财报2021年与官网2022年起点差异、重启计划和实际复产日期。,"Central Omega：冶炼业务介绍 https://www.central-omega.com/operation/smelter/overview
Central Omega 2025财务报表（第103页附近） https://indopremier.com/xdir/news/LAPORAN%20KEUANGAN/2025/q4/DKFT_Q4_2025.pdf"
NPI059,PT Artha Mining Industry 阿尔塔矿业,投产待确认,建设后续与投产待确认,2023工作报告；2025年PSN仍列名,海事与投资统筹部2023工作报告列Artha建设进度44.60%，并记载设备已在现场、考虑更换技术及请求退出PSN。2025正式PSN清单仍列名，因此“请求退出”不能写成政府已批准取消，规划完成年份也不能当首产日期。 ,技术调整后的新方案、建设验收和具名首产。,"印尼海事与投资统筹部2023工作报告，表54及56 https://www.maritim.go.id/uploads/magazine/20240605105345-2024-06-05magazine105253.pdf#page=144
2025年第16号PSN清单 https://peraturan.bpk.go.id/Download/392383/2025PermenkoEkon016.pdf"
NPI061,PT Artabumi Sentra Industri (ASI) 阿尔塔布米工业,投产待确认,建设及投产现况待确认,2020年资产说明；2023工作报告,Silkroad于2020年澄清六座高炉由ASI持有，当时尚待人员到位及运营协议完成。2023政府工作报告又提到技术调整及新线建设。两套阶段性方案不能简单合并成当前运行炉数；网站泛称公司自2020年经营，也没有给出具名出铁记录。 ,旧高炉与新工程的对应、运营主体及实际首产日期。,"Silkroad 2020年5月13日澄清 https://links.sgx.com/1.0.0/corporate-announcements/8BRZJ6SZF2FCM4NU/610583_SRN%20-%20Clarification%20on%20Edge%20article.pdf
印尼海事与投资统筹部2023工作报告，表54及56 https://www.maritim.go.id/uploads/magazine/20240605105345-2024-06-05magazine105253.pdf#page=144"
