项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,1959,投产,Moa跨国加工链起源,古巴Moa矿山和湿法设施始于1959年，生产混合硫化物后送往加拿大Fort Saskatchewan精炼，构成跨国镍钴加工链。,Sherritt2026Q2业绩,https://sherritt.com/sherritt-reports-second-quarter-2026-results/
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,1976,投产,FeNi I商业投产,"ANTAM官方年报回溯Pomalaa FeNi I于1976年开始商业运营，初始能力为每年4,500镍吨，是该基地镍铁工业化的起点。",ANTAM 2019 Annual Report,https://antam.com/en/downloads/annual-report-2019
P12,PT Vale Indonesia Tbk 淡水河谷索罗瓦科高冰镍项目,1978,投产,Sorowako冶炼厂开始运行,Vale披露Sorowako火法冶炼厂自1978年运行，矿石经电炉和转炉加工为高冰镍；这是老厂投运节点，与后来炉体重建分开记录。,PT Vale Indonesia 2026年第一季度业绩,https://www.vale.com/documents/44618/1438416/2026-4-29%2BPT%2BVale%2BIndonesia%2B1Q%2B2026%2BResults%2BRelease%2B-%2BEnglish.pdf/5e9c91c4-f914-6c3a-6178-6670d5116772?download=false&t=1777465695468&version=1.0
MHP049,Murrin Murrin Operations / Minara Resources 穆林穆林镍钴项目,1990年代,建设,项目建设并投产,Murrin Murrin在1990年代建设，形成四台HPAL釜、混合硫化物中间段和现场镍钴金属精炼的一体化流程；精确首产日期仍待项目档案。,Glencore/Minara工艺全流程,https://www.glencore.com.au/operations-and-projects/minara/who-we-are/producing-nickel-and-cobalt-at-murrin-murrin
NPI060,PT Ceria Nugraha Indotama (CNI) 塞里亚镍铁项目,1991,成立,Ceria公司设立,Ceria官方资料称企业于1991年设立，后续逐步进入镍矿和冶炼业务。公司成立属于主体历史，不能与2025年RKEF首产混为同一节点。,Ceria官方首产回顾,https://www.linkedin.com/posts/ceriacorp_ceriaberpacu-smeltermerahputih-activity-7338792836655476736-WHEm
MHP044,Moa Joint Venture / Fort Saskatchewan Refinery 莫阿与萨斯喀彻温堡加工链,1994,股权,进入Sherritt合资运营时代,1994年后的合资安排把古巴矿山、冶炼和加拿大精炼长期置于同一供应链中；该节点是治理和运营结构变化，不代表新厂首产。,Sherritt2025Q4与2026原指引,https://sherritt.com/sherritt-reports-fourth-quarter-and-full-year-2025-results-provides-2026-guidance/
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,1995,扩产,FeNi II商业投产,"Pomalaa FeNi II扩建线于1995年投入商业运营，新增每年5,500镍吨能力，扩大了ANTAM的镍铁生产规模。",ANTAM 2019 Annual Report,https://antam.com/en/downloads/annual-report-2019
MHP041,Norilsk Nickel Avalon Pty Ltd — Bulong 布隆阿瓦隆历史项目,2003,经营,Bulong进入停产维护,Bulong HPAL工厂自2003年起进入停产维护状态，结束连续商业运行。该项目历史上直接精炼金属产品，不应按当代MHP外售项目归类。,Norilsk处置Avalon/Cawse公告（股东Interros转载原发行人声明）,https://interros.ru/en/press/events/21.05.2014/
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,2004,扩产,二号电炉现代化后商业运行,"二号电炉完成冷却技术现代化，能力提高到每年6,000镍吨，并于2004年恢复商业运行。",ANTAM 2019 Annual Report,https://antam.com/en/downloads/annual-report-2019
MHP045,Coral Bay Nickel Corporation (CBNC) 珊瑚湾镍业,2005,投产,Coral Bay投入运行,住友金属矿山资料记载Coral Bay于2005年投入运行，以Rio Tuba低品位氧化镍矿生产混合硫化物，并接入日本精炼体系。,住友金属矿山2024综合报告,https://www.smm.co.jp/en/ir/library/integrated_report/pdf/2024/2024_All_EN.pdf
NPI071,PT Growth Java Industry (GJI) 爪哇成长工业,2006,成立,Growth Java成立,项目资料记载PT Growth Java Industry于2006年成立，早期业务与后续镍铁生产阶段不同；法人设立日期不等同于NPI设施投产。,Growth Java完整企业官网,https://www.growthsteelgroup.com/gji/
MHP034,Meta Nikel Kobalt Madencilik Sanayi ve Ticaret A.Ş. 梅塔格尔德斯镍钴项目,2007,股权,进入Zorlu合作体系,Meta Gördes项目于2007年纳入Zorlu合作体系，开始形成土耳其红土镍湿法开发安排；股权和合作节点早于工厂试生产。,Meta企业沿革及HPAL技术,https://www.metanikel.com.tr/en/us/our-story
NPI058,PT Aneka Tambang Tbk — Pomalaa 安塔姆波马拉镍铁厂,2007,扩产,FeNi III商业投产,Pomalaa FeNi III扩建项目于2007年投入商业运营，新增每年1.5万镍吨能力，使基地总能力进一步提升。,ANTAM 2019 Annual Report,https://antam.com/en/downloads/annual-report-2019
MHP040,Norilsk Nickel Cawse Pty Ltd 考斯历史项目,2008,经营,进入停产维护,Cawse自2008年进入停产维护，历史HPAL及氢氧化物中间品路线不再形成现役供应；未取得截至2026年的重启证据。,Nornickel2014审计业绩,https://nornickel.com/upload/iblock/00a/fy2014_ifrs_press_release_ang_final_1_full.pdf
NPI075,PT Century Metalindo 世纪冶金,2008,股权,Century Metalindo成立,ESDM资料记载Century Metalindo于2008年成立，随后在Cikande工业区建设小型铁合金冶炼设施。,ESDM：锰下游化对区域经济影响,https://www.esdm.go.id/assets/media/content/content-kajian-hilirisasi-mineral-mangan-2017.pdf
NPI028,PT Sulawesi Mining Investment (SMI) 苏拉威西矿业投资,2009,股权,项目公司成立,IMIP园区沿革将Sulawesi Mining Investment的设立追溯至2009年，项目属于青山与Bintang Delapan合作体系；当前项目公司直接持股比例仍需同期登记原件。,IMIP Klaster Edisi 12,https://imip.co.id/wp-content/uploads/2024/09/Majalah-Klaster-Edisi-12.pdf
NPI075,PT Century Metalindo 世纪冶金,2009,投产,开始生产硅锰,工厂最初于2009年生产硅锰，尚未进入NPI业务。该节点用于区分原有铁合金设施与后来的镍铁转型。,ESDM：锰下游化对区域经济影响,https://www.esdm.go.id/assets/media/content/content-kajian-hilirisasi-mineral-mangan-2017.pdf
MHP037,Ramu NiCo Management (MCC) Limited 瑞木镍钴,2009—2012,建设,瑞木一体化项目建设,瑞木在2009至2012年间建设矿山、矿浆管线和沿海HPAL工厂，形成一体化矿冶系统；建设期不能直接作为商业生产起点。,Nickel 28 2020年度财务报告,https://nickel28.com/_resources/financials/Nickel-28-FS-December-31-2020-Apr-30.pdf?v=092002
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,2010,股权,First Quantum收购项目,First Quantum在2010年购入Ravensthorpe，为后续改造和重启奠定资产基础；收购日不是生产恢复日。,First Quantum Ravensthorpe运营页,https://www.first-quantum.com/operations/ravensthorpe/
MHP036,Ravensthorpe Nickel Operations (RNO) 雷文斯索普镍业,2011,投产,改造后开始出货,项目经改造后于2011年恢复并开始出货，HPAL路线生产MHP；实际运行仍受到镍价、成本和设备条件影响。,First Quantum Ravensthorpe运营页,https://www.first-quantum.com/operations/ravensthorpe/
